,name,grape,product rating,number ratings,product type,country of origin,price,bold_value,tannic value,sweet_value,acidic_value,food_pairing
0,Fico Susumaniello,Susumaniello,4.8,27 ratings,Red wine,Italy,€24.90,75.8029%,36.3297%,31.3312%,24.9804%,Beef
1,60 Sessantanni Old Vines Primitivo di Manduria,Primitivo,4.5,15957 ratings,Red wine,Italy,€22.90,69.663%,22.9146%,46.7775%,12.1954%,Beef
2,Limited Edition 10 Vendemmie,Montepulciano,4.5,8892 ratings,Red wine,Italy,€24.30,50.6136%,36.753%,19.4152%,59.7082%,Beef
3,Fanova Riserva,Primitivo,4.5,135 ratings,Red wine,Italy,€17.40,79.3122%,38.7329%,30.1212%,31.5391%,Beef
4,Amarone della Valpolicella Classico,Blend,4.5,57 ratings,Red wine,Italy,€27.70,,,,,Beef
5,Guerriero della Terra,Blend,4.5,41 ratings,Red wine,Italy,€24.90,59.5447%,34.6501%,39.1743%,39.3046%,Beef
6,Nizza DOCG,Barbera,4.5,33 ratings,Red wine,Italy,€20,63.1152%,32.4413%,2.22174%,43.1739%,Beef
7,Lucretia Chianti Classico Riserva,Sangiovese,4.5,33 ratings,Red wine,Italy,€26,52.5077%,69.8093%,3.2835%,67.7371%,Beef
8,Primitivo Salento,Primitivo,4.4,2307 ratings,Red wine,Italy,€18.40,68.2177%,21.1277%,47.6472%,9.69191%,Beef
9,Guerriero della Terra,Blend,4.4,1421 ratings,Red wine,Italy,€24.95,59.5447%,34.6501%,39.1743%,39.3046%,Beef
10,Papale Linea Oro Primitivo di Manduria,Primitivo,4.4,1284 ratings,Red wine,Italy,€22.97,68.0155%,22.1586%,43.9273%,12.2711%,Beef
11,60 Sessantanni Old Vines Primitivo di Manduria,Primitivo,4.4,873 ratings,Red wine,Italy,€23.65,69.663%,22.9146%,46.7775%,12.1954%,Beef
12,60 Sessantanni Limited Edition Old Vines Primitivo di Manduria,Primitivo,4.4,445 ratings,Red wine,Italy,€27.30,69.4106%,19.7336%,45.9759%,11.1998%,Beef
13,Liala Negroamaro,Negroamaro,4.4,249 ratings,Red wine,Italy,€23.86,82.4346%,30.3049%,40.8946%,26.0213%,Beef
14,Cavolo Amarone della Valpolicella,Blend,4.4,238 ratings,Red wine,Italy,€29.89,80.3493%,24.82%,45.7862%,29.1761%,Beef
15,Primitivo di Manduria,Primitivo,4.4,221 ratings,Red wine,Italy,€29.90,72.0229%,25.4231%,45.3349%,12.2387%,Beef
16,Il Bacca Old Vine Primitivo di Manduria,Primitivo,4.4,172 ratings,Red wine,Italy,€26.90,68.7786%,26.5763%,43.1435%,13.4977%,Beef
17,Valpolicella Ripasso Classico Superiore,Blend,4.4,155 ratings,Red wine,Italy,€18.90,66.9617%,38.5803%,33.5744%,26.9165%,Beef
18,Amarone della Valpolicella,Blend,4.4,145 ratings,Red wine,Italy,€22,,,,,Beef
19,Paradoxe,Blend,4.4,126 ratings,Red wine,France,€29.90,70.215%,51.281%,16.1654%,56.0027%,Beef
20,L'Invidio Bolgheri Rosso,Blend,4.4,114 ratings,Red wine,Italy,€17.84,60.1444%,54.468%,9.33844%,46.36%,Beef
